A,0.265667,0.677352,-0.000001,0.350261,0.628814,-0.019161,0.406978,0.528116,-0.026654,0.423371,0.431597,-0.038269,0.418570,0.356865,-0.044690,0.363052,0.439980,0.009967,0.374555,0.364771,-0.030543,0.368537,0.450499,-0.051952,0.358021,0.509471,-0.058545,0.314676,0.435872,0.004299,0.326207,0.367427,-0.037942,0.324619,0.472467,-0.046648,0.315655,0.527178,-0.040316,0.265246,0.439370,-0.009073,0.276710,0.370102,-0.052226,0.284413,0.475527,-0.038896,0.281582,0.536069,-0.015778,0.213303,0.452356,-0.024420,0.227478,0.382778,-0.049919,0.241835,0.452196,-0.036305,0.245100,0.504004,-0.017121
B,0.218980,0.832294,0.000000,0.297226,0.768702,-0.033508,0.338256,0.668828,-0.052398,0.331750,0.568945,-0.069535,0.307309,0.483029,-0.085475,0.319798,0.493868,-0.013454,0.330142,0.370504,-0.036555,0.331095,0.299053,-0.061948,0.328559,0.228287,-0.083657,0.267198,0.480976,-0.018743,0.278153,0.347496,-0.036185,0.281817,0.270947,-0.061601,0.286200,0.189933,-0.084012,0.217071,0.496454,-0.029847,0.225569,0.370900,-0.049115,0.233417,0.294774,-0.069046,0.241706,0.219433,-0.086794,0.161524,0.534132,-0.044936,0.170516,0.430272,-0.064900,0.178724,0.362599,-0.077268,0.189244,0.292506,-0.088192
C,0.137808,0.755317,0.000000,0.238721,0.706283,-0.016825,0.326275,0.623607,-0.043419,0.399457,0.591746,-0.074669,0.469102,0.561663,-0.106984,0.278496,0.417940,-0.015777,0.329553,0.296818,-0.059971,0.378897,0.252053,-0.101237,0.434218,0.234033,-0.128805,0.237381,0.415074,-0.038347,0.280904,0.273972,-0.087065,0.342559,0.233767,-0.124995,0.407621,0.232400,-0.147896,0.193455,0.436614,-0.066088,0.229189,0.291270,-0.104467,0.288286,0.243707,-0.127263,0.349671,0.228483,-0.140166,0.150817,0.478103,-0.096317,0.175361,0.357490,-0.126542,0.218909,0.287475,-0.142666,0.268774,0.237989,-0.152675
D,0.192979,0.847755,-0.000000,0.284181,0.753263,0.018086,0.336612,0.664307,0.008027,0.380360,0.612712,-0.015698,0.418594,0.565079,-0.041273,0.236366,0.531107,0.012741,0.248346,0.404399,-0.005781,0.248705,0.330317,-0.020944,0.251491,0.262502,-0.035190,0.203914,0.544319,-0.019678,0.302946,0.478118,-0.051964,0.356905,0.513947,-0.066218,0.376641,0.546025,-0.075073,0.192180,0.577353,-0.053436,0.286589,0.494275,-0.086036,0.350487,0.523673,-0.086207,0.380434,0.564009,-0.082744,0.199887,0.618065,-0.086876,0.250543,0.527499,-0.113821,0.308699,0.503107,-0.117933,0.352909,0.506861,-0.117802
E,0.183415,0.844443,-0.000000,0.261616,0.816894,-0.044149,0.324991,0.715086,-0.072789,0.346533,0.624941,-0.102762,0.289429,0.589619,-0.127986,0.284431,0.524799,-0.020557,0.290292,0.394796,-0.071170,0.329261,0.401197,-0.114150,0.344292,0.457028,-0.138935,0.232986,0.514152,-0.024338,0.225172,0.357703,-0.076115,0.270779,0.376503,-0.117121,0.289761,0.449996,-0.136889,0.182543,0.524682,-0.036259,0.171063,0.386393,-0.070858,0.216159,0.382572,-0.103177,0.236548,0.444760,-0.119268,0.128052,0.556582,-0.053622,0.125538,0.443636,-0.074335,0.161307,0.414634,-0.095336,0.188161,0.444895,-0.108495
F,0.216125,0.790802,-0.000000,0.289644,0.736881,-0.018663,0.349877,0.647077,-0.036843,0.396902,0.584720,-0.058256,0.430091,0.521390,-0.079679,0.284248,0.516566,-0.010376,0.336756,0.445419,-0.053807,0.381697,0.469540,-0.092089,0.415092,0.504036,-0.113961,0.241572,0.490153,-0.024105,0.276216,0.380541,-0.055406,0.320122,0.315695,-0.083891,0.363205,0.263496,-0.103683,0.196473,0.498133,-0.044374,0.196575,0.373540,-0.075227,0.216382,0.290149,-0.099025,0.239749,0.217006,-0.114572,0.155154,0.534051,-0.066241,0.129544,0.437705,-0.091396,0.123030,0.360546,-0.103658,0.126378,0.285676,-0.111925
G,0.024491,0.687349,-0.000001,0.115873,0.589400,0.036158,0.239085,0.554777,0.021684,0.340420,0.579733,0.002119,0.414806,0.618997,-0.021609,0.221974,0.438510,-0.061315,0.366040,0.441474,-0.096051,0.448684,0.458572,-0.112827,0.514211,0.474175,-0.125140,0.196007,0.506436,-0.096327,0.363498,0.571064,-0.118786,0.333322,0.624946,-0.098298,0.292851,0.621362,-0.087846,0.180431,0.601343,-0.125053,0.342404,0.648598,-0.142324,0.314424,0.688294,-0.102038,0.270794,0.685489,-0.077624,0.172402,0.700661,-0.149570,0.320697,0.724773,-0.161801,0.327371,0.750456,-0.135444,0.306449,0.755265,-0.117275
H,0.002098,0.686937,0.000000,0.083010,0.575788,0.037404,0.178502,0.520228,0.023762,0.262092,0.538821,0.005351,0.320801,0.576313,-0.016751,0.214526,0.448821,-0.071248,0.360999,0.455136,-0.108354,0.442499,0.464958,-0.130247,0.507525,0.479916,-0.143463,0.190732,0.531960,-0.104795,0.357121,0.528048,-0.139255,0.453565,0.534499,-0.150285,0.523715,0.545774,-0.161369,0.179442,0.631629,-0.127311,0.352003,0.658072,-0.137392,0.340801,0.676713,-0.100999,0.306436,0.680734,-0.076511,0.174457,0.728690,-0.146857,0.318959,0.741240,-0.144468,0.332395,0.733168,-0.110460,0.325547,0.713035,-0.084503
I,0.210255,0.869813,-0.000001,0.292377,0.813229,-0.017872,0.333252,0.690892,-0.024165,0.342643,0.596323,-0.034586,0.355896,0.520903,-0.039170,0.287052,0.610786,0.010579,0.295891,0.514401,-0.023803,0.289927,0.585580,-0.045015,0.288032,0.653344,-0.051977,0.238631,0.606121,0.005872,0.241759,0.516100,-0.041669,0.248662,0.602564,-0.066074,0.256735,0.675113,-0.069753,0.191351,0.609484,-0.004764,0.183879,0.491870,-0.040824,0.203031,0.541817,-0.049222,0.220933,0.598709,-0.043883,0.145378,0.620812,-0.017154,0.137175,0.527051,-0.035214,0.141642,0.467014,-0.043171,0.149171,0.411202,-0.044409
J,0.409779,0.896210,-0.000000,0.370618,0.795825,0.017190,0.358160,0.676856,0.021344,0.372251,0.571582,0.024404,0.412782,0.529429,0.026980,0.378483,0.633589,-0.024635,0.450621,0.539981,-0.027829,0.460103,0.575402,-0.020914,0.451218,0.608791,-0.014984,0.421489,0.653354,-0.036169,0.492468,0.550915,-0.037109,0.501240,0.591217,-0.025047,0.489658,0.624450,-0.019047,0.468109,0.684578,-0.043034,0.528875,0.563571,-0.046223,0.534037,0.599032,-0.029212,0.521366,0.635154,-0.019639,0.517878,0.722052,-0.047126,0.556626,0.604902,-0.056389,0.578971,0.542898,-0.053307,0.592270,0.489128,-0.051090
J,0.151449,0.561652,-0.000001,0.241830,0.492996,-0.004187,0.344365,0.486898,-0.040310,0.419288,0.505832,-0.068070,0.449572,0.555455,-0.093368,0.339258,0.468262,-0.173619,0.429706,0.637581,-0.199934,0.402471,0.644863,-0.170520,0.378827,0.612825,-0.149985,0.279561,0.514125,-0.191871,0.387613,0.697314,-0.217650,0.354966,0.701857,-0.166513,0.332380,0.659256,-0.137056,0.228019,0.586322,-0.203075,0.338450,0.739715,-0.223019,0.316515,0.742127,-0.171831,0.288046,0.707806,-0.145581,0.186514,0.658437,-0.213195,0.272099,0.776336,-0.257197,0.330960,0.836220,-0.264454,0.375109,0.877702,-0.270713
K,0.228352,0.954717,0.000001,0.297057,0.872971,-0.017098,0.317642,0.749379,-0.024747,0.287065,0.652498,-0.038330,0.258033,0.588937,-0.049496,0.286291,0.650994,-0.004371,0.301837,0.523482,-0.027101,0.309865,0.450241,-0.041347,0.315799,0.385700,-0.050890,0.236806,0.654926,-0.017054,0.229410,0.512265,-0.045482,0.225153,0.429086,-0.064473,0.215067,0.356812,-0.074244,0.191054,0.689687,-0.033433,0.201477,0.603767,-0.074237,0.235855,0.681884,-0.074552,0.251501,0.745569,-0.061904,0.147671,0.740068,-0.051856,0.158021,0.666716,-0.079102,0.195734,0.694223,-0.072775,0.220667,0.729147,-0.061104
L,0.121093,0.813080,-0.000000,0.227019,0.768363,-0.027396,0.305507,0.717673,-0.045648,0.391030,0.679034,-0.067580,0.444626,0.662435,-0.088731,0.271812,0.547736,-0.013007,0.303762,0.421131,-0.052719,0.322629,0.350593,-0.085737,0.335012,0.281459,-0.108299,0.223267,0.526080,-0.015893,0.236874,0.447918,-0.067164,0.224726,0.547843,-0.080421,0.212350,0.618724,-0.078469,0.167352,0.524864,-0.024511,0.176528,0.449384,-0.068103,0.179118,0.541438,-0.058576,0.178479,0.611602,-0.039111,0.115004,0.544849,-0.036585,0.113976,0.446095,-0.059762,0.137140,0.494755,-0.047262,0.148099,0.555350,-0.030357
